,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,y_pred
91533,0.0,0.0,0.0,0.0,0.0,0.8425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
62472,0.0,0.0,0.77184,0.0,0.0,0.0,0.0,0.37279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7
95950,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55654,0.55654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.7
12403,0.0,0.0,0.0,0.0,0.0,0.47666,0.0,0.0,0.0,0.29367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
69572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33592,0.0,0.0,0.9169,0.27577,0.36404,0.0,0.0,0.0,0.0,0.0,0.1
59471,0.0,0.0,0.0,0.0,0.0,0.0,0.86055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
102759,0.0,0.78378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.58723,0.0,0.0,0.0,1.0,0.7
26784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37602,0.0,0.0,0.2
25910,0.0,0.75504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
13145,0.0,0.0,0.0,0.0,0.0,0.72078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2
50283,0.0,0.0,0.0,0.75194,0.0,0.0,0.0,0.58869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4
31285,0.0,0.0,0.0,0.0,0.0,0.53733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59419,0.0,0.0,0.0,0.0,0.0,0.362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
92265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
115345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.84233,0.50463,0.0,0.81473,0.0,0.0,0.0,0.0,1.0,0.8
66959,0.0,0.0,0.0,0.0,0.0,0.61086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
