,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,y_pred
90518,0.0,0.0,0.0,0.0,0.0,0.0,0.88236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
22623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.87059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.63013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
70290,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8945,0.0,0.0,0.0,0.0,1.0,0.9
74065,0.0,0.0,0.0,0.0,0.0,0.0,0.80017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
34253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
70919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.79279,0.0,0.0,0.0,0.0,1.0
7986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
57925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8727,0.25029,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1
3029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.84135,0.0,0.0,0.0,0.0,0.0,0.0,0.5
3985,0.0,0.75054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1
54903,0.0,0.0,0.0,0.75915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102203,0.0,0.0,0.0,0.0,0.0,0.47292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40610,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.74072,0.0,0.0,0.0,0.0,1.0
47274,0.0,0.0,0.0,0.0,0.0,0.64155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.80054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
93150,0.0,0.0,0.0,0.0,0.0,0.26121,0.0,0.0,0.0,0.85421,0.0,0.52699,0.0,0.0,0.0,0.0,0.0,0.0,0.5
103421,0.0,0.0,0.0,0.0,0.0,0.0,0.94498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
10152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42089,0.86015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4
71987,0.0,0.0,0.84922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9
108000,0.0,0.0,0.0,0.0,0.0,0.61704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3
56905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
96296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46609,0.59622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9
35209,0.0,0.78535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.7
51969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.68355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
115738,0.0,0.79661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
662,0.0,0.7797,0.0,0.0,0.0,0.0,0.90052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
79049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35356,0.0,0.94805,0.0,0.0,0.0,0.0,0.0,0.0,0.3
71451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30306,0.2978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4
69196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49749,0.87369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6
45263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9
115886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.76643,0.0,0.0,0.0,0.0,0.0,0.76643,0.0,0.0,0.0,1.0,0.8
81525,0.0,0.0,0.0,0.0,0.0,0.0,0.92751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
92376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.79234,0.3036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5
43961,0.0,0.0,0.0,0.0,0.0,0.41043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
108840,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9079,0.0,0.0,0.67879,0.0,0.0,0.0,0.0,0.0,0.5
70282,0.0,0.0,0.0,0.0,0.0,0.77153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41218,0.58045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8
18369,0.0,0.0,0.0,0.0,0.0,0.62127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.66203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4
4504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34389,0.34697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9
5569,0.8026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
21347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
19161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37296,0.0,1.0,0.8
72863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.74736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.7
64976,0.0,0.7699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.81353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
43611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.89247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.89345,0.0,0.0,0.89345,0.0,0.0,0.0,0.0,1.0,1.0
110045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.78269,0.0,0.41898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.65
53816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.65339,0.0,1.0,0.0
89808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.66569,0.0,0.84912,0.71036,0.0,0.49542,0.0,0.0,0.0,0.0,1.0,0.6
56966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.64539,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
