,Bedroom,Dinning,Livingroom,Bathroom,Kitchen,bench,snowboard,chair,couch,potted plant,bed,dining table,y_test,y_pred
61323,0.0,0.0,0.0,0.84117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1325641089159556
86524,0.0,0.0,0.0,0.0,0.0,0.76776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11126651059512742
52696,0.0,0.0,0.0,0.89514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10626567478066136
22813,0.0,0.0,0.0,0.0,0.0,0.0,0.87405,0.0,0.0,0.0,0.0,0.0,1.0,0.9901078486419669
12993,0.0,0.0,0.0,0.76249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16328695855757172
95739,0.0,0.0,0.0,0.0,0.0,0.39561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1327681428425042
90831,0.0,0.0,0.0,0.84105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1325641089159556
63865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.89096,0.0,0.0,0.58795,0.0,1.0,0.7377900118592294
23238,0.0,0.0,0.0,0.0,0.0,0.4135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1327681428425042
25127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.83168,0.0,0.0,0.0,0.0,0.0,0.529826754978589
57734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.86219,0.0,0.0,0.0,0.0,0.0,0.529826754978589
21285,0.0,0.0,0.0,0.0,0.0,0.72642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11126651059512742
98925,0.0,0.0,0.0,0.0,0.0,0.61962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11126651059512742
6455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85065,0.0,1.0,0.7377900118592294
27382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2591,1.0,0.7288163099896292
71262,0.0,0.0,0.0,0.0,0.0,0.42908,0.0,0.0,0.0,0.0,0.0,0.71018,0.0,0.3425077694623405
68018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.63978,1.0,0.8166411166084577
74419,0.0,0.76861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.529826754978589
102943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35511,1.0,0.8166411166084577
100121,0.79555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.529826754978589
14486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.56512,0.0,0.0,0.7377900118592294
17888,0.0,0.0,0.0,0.0,0.0,0.0,0.8943,0.0,0.0,0.0,0.0,0.0,1.0,0.9901078486419669
5348,0.0,0.79519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.529826754978589
91568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.89864,0.0,0.0,0.81748,0.0,1.0,0.7377900118592294
63420,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.78269,0.75991,0.0,0.0,0.0,0.0,0.529826754978589
99880,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.54233,1.0,0.8166411166084577
104168,0.0,0.0,0.0,0.0,0.0,0.70609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11126651059512742
13262,0.0,0.79288,0.0,0.0,0.0,0.0,0.86284,0.0,0.0,0.0,0.0,0.0,1.0,0.9901078486419669
21963,0.0,0.0,0.0,0.0,0.0,0.37412,0.0,0.0,0.25281,0.0,0.0,0.0,0.0,0.1327681428425042
110297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.90103,0.0,0.0,0.0,0.0,1.0,0.529826754978589
57430,0.0,0.0,0.0,0.75706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16328695855757172
10864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28667,0.0,0.0,0.0,0.0,1.0,0.529826754978589
8211,0.0,0.0,0.0,0.0,0.0,0.0,0.90791,0.0,0.0,0.0,0.0,0.0,1.0,0.9901078486419669
41118,0.0,0.0,0.0,0.0,0.0,0.0,0.89333,0.0,0.0,0.0,0.0,0.0,1.0,0.9901078486419669
59566,0.0,0.0,0.76244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.529826754978589
12682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55379,0.33798,0.0,0.0,0.0,1.0,0.529826754978589
94739,0.0,0.0,0.0,0.80261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1508007372171837
47245,0.0,0.0,0.0,0.0,0.0,0.68118,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.11126651059512742
33071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85425,1.0,0.8166411166084577
50665,0.0,0.0,0.0,0.0,0.0,0.87845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11126651059512742
84559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.83213,1.0,0.8166411166084577
109575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.87295,0.0,0.25164,0.0,0.0,0.0,0.529826754978589
108213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35183,0.0,1.0,0.5533061016268639
108214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88407,0.0,0.0,0.74721,0.0,1.0,0.7377900118592294
94370,0.0,0.0,0.0,0.80623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1508007372171837
110219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.56017,1.0,0.8166411166084577
74793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.77466,0.0,0.0,0.0,1.0,0.529826754978589
82954,0.0,0.0,0.0,0.0,0.0,0.8084,0.0,0.0,0.5605,0.0,0.0,0.0,0.0,0.1334804966928277
51299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.56408,0.92028,1.0,0.8166411166084577
49763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.91175,1.0,0.8166411166084577
8491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.56525,1.0,0.8166411166084577
114505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.76914,0.88833,0.0,0.0,0.0,1.0,0.529826754978589
83034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75925,1.0,0.8166411166084577
81674,0.81405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.529826754978589
62495,0.0,0.0,0.0,0.0,0.0,0.34325,0.0,0.0,0.0,0.26987,0.0,0.0,1.0,0.14251795888371097
2649,0.0,0.0,0.0,0.0,0.0,0.0,0.81752,0.0,0.0,0.0,0.0,0.0,1.0,0.9883131216942067
117708,0.0,0.0,0.0,0.0,0.0,0.59344,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.11126651059512742
60969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.79034,0.0,0.0,0.0,1.0,0.529826754978589
81875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26423,0.0,0.0,0.0,1.0,0.529826754978589
4641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.66758,0.0,0.0,0.0,0.0,0.0,0.529826754978589
87087,0.0,0.0,0.0,0.0,0.0,0.0,0.86301,0.0,0.0,0.0,0.0,0.0,1.0,0.9901078486419669
29650,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.71856,0.0,0.32958,0.0,0.0,0.0,0.49991343823223316
103889,0.0,0.0,0.77763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.529826754978589
50232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.56341,0.0,0.8166411166084577
13028,0.0,0.0,0.0,0.81005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1508007372171837
